WellID,BVHH_imputed,FormationAlias,LateralLength,LeftNeighbourType,RightNeighbourType,CodGOR_imputed,is_zero_proppant,NormalizedOilEUR,NormalizedGasEUR,FluidPerFoot_imputed,ProppantPerFoot_imputed,NioGOR_imputed,TVD_missing_noneighbour,NioGOR_missing_noneighbour,RightDistance_filled,LeftDistance_filled,TVD_imputed,TotalSpacing,BVHH_x_NIOBRARA,BVHH_bin,Proppant_x_BVHH,Proppant_sq_x_BVHH,HighBVHH_Codell_x_Proppant,HighBVHH_Niobrara_x_Proppant,Proppant_level,Fluid_level,Proppant_x_Fluid,HighProppant_HighFluid,NioGOR_bin,BVHH_imputed_sq
500109889,0.9796262972,NIOBRARA,16676.0,NoNeighbour,NoNeighbour,3301.0053161999995,0,14.95568482,54.59258815,663.4779923,609.4986807,6763.602306756998,1,1,-1.0,-1.0,7029.21,9999999.0,0.9796262972,Medium,597.0809357224261,363920.0425939403,0.0,0.0,Low,Low,404388.9609803348,0,High,0.9596676821657828
500109890,1.0359491552,NIOBRARA,12683.0,NoNeighbour,NoNeighbour,6435.2918364,0,15.67972877,78.26476386,902.1355358,723.0150595,4022.0454575660015,1,1,-1.0,-1.0,7605.33,9999999.0,1.0359491552,Medium,749.0068400859027,541543.225050616,0.0,0.0,Low,Medium,652257.5780935014,0,Medium,1.0731906521595935
500109892,1.0450062892,NIOBRARA,12769.0,NoNeighbour,NoNeighbour,5650.400982,0,14.7661524,65.345446,733.14684,712.3502232,5442.594186565002,1,1,-1.0,-1.0,7017.33,9999999.0,1.0450062892,Medium,744.4104633570238,530280.9597247912,0.0,0.0,Low,Low,522257.31511237466,0,High,1.0920381444675542
500109894,1.0569475928,NIOBRARA,12718.0,NoNeighbour,NoNeighbour,6435.291836400001,0,12.12100959,61.70026734,895.8021702,728.88819,3868.6819218510004,1,1,-1.0,-1.0,7606.66,9999999.0,1.0569475928,Medium,770.3966178408491,561532.9963601383,0.0,0.0,Low,Medium,652939.62243515,0,Medium,1.1171382139257147
500109900,1.1667687848,CODELL,8922.0,NoNeighbour,NoNeighbour,3907.5595324,0,25.48924008,115.169805,780.028469,785.249944,3936.1769599749987,1,1,-1.0,-1.0,7468.29,9999999.0,0.0,Medium,916.205122925148,719450.0214694856,0.0,0.0,Low,Medium,612517.3116006558,0,Medium,1.3613493971836685
500109901,1.2633839400000002,CODELL,16670.0,NoNeighbour,NoNeighbour,3208.6140332000004,0,20.32123575,65.46034793,674.2926815,666.1067786,4389.052835893,0,1,-1.0,-1.0,7978.0,9999999.0,0.0,High,841.5486064083758,560561.2312500025,666.1067786,0.0,Low,Low,449150.92590752075,0,High,1.5961389798499241
500109907,0.9796262972,NIOBRARA,16655.0,NoNeighbour,NoNeighbour,4324.9467994,0,14.33287301,53.63644551,711.750045,647.1329931,7098.697900785998,1,1,-1.0,-1.0,7239.9,9999999.0,0.9796262972,Medium,633.9484978265062,410248.98886971583,0.0,0.0,Low,Low,460596.9369599097,0,High,0.9596676821657828
500109908,1.2248491098,CODELL,8922.0,NoNeighbour,NoNeighbour,3427.859226399999,0,25.94115669,111.7808787,788.2811029,812.3739072,3790.2647413799978,1,1,-1.0,-1.0,7433.69,9999999.0,0.0,High,995.0354570586678,808340.8420532877,812.3739072,0.0,Medium,Medium,640378.9995347982,0,Medium,1.5002553417778526
500109909,1.2633839400000002,CODELL,16631.0,NoNeighbour,NoNeighbour,2346.5670234,0,22.62840479,66.21688413,763.1984848,874.0304251,3138.5484375480005,1,1,-1.0,-1.0,8052.49,9999999.0,0.0,High,1104.236002142713,965135.8623635201,874.0304251,0.0,Medium,Medium,667058.6961054199,0,Medium,1.5961389798499241
500109911,0.9796262972,NIOBRARA,16570.0,NoNeighbour,NoNeighbour,6506.068956,0,13.19583585,51.46614363,722.7451418,657.2118286,7352.828876876999,1,1,-1.0,-1.0,7297.44,9999999.0,0.9796262972,Medium,643.8219901274591,423127.42742455855,0.0,0.0,Low,Low,474996.6562541443,0,High,0.9596676821657828
500109926,0.750480597,CODELL,4438.0,NoNeighbour,NoNeighbour,1562.662802,0,47.10477693,134.7174403,2.52681388,1022.249662,1820.221426,0,0,-1.0,-1.0,7946.0,9999999.0,0.0,Low,767.1785366208082,784247.9997542758,0.0,0.0,Medium,Low,2583.0346347669088,0,Low,0.5632211264734764
500109941,0.732175,CODELL,4524.0,NoNeighbour,NoNeighbour,1444.344382,0,49.58222812,136.1812555,1498.176393,1179.929266,2142.825623,0,0,-1.0,-1.0,7688.0,9999999.0,0.0,Low,863.9147103335501,1019358.2500504684,0.0,0.0,High,High,1767742.1717310175,1,Low,0.536080230625
500109946,1.4016555604,NIOBRARA,9604.0,Parent,Codeveloped,3135.657626,0,6.73667222,110.3103915,1007.619534,968.3465223,4111.154054,0,0,397.0,269.0,7669.0,666.0,1.4016555604,High,1357.2882873757976,1314325.3928388765,0.0,968.3465223,Medium,Medium,975724.8715504466,0,Medium,1.9646383100002383
500109947,1.4813860724,CODELL,9657.0,Codeveloped,Codeveloped,3117.549078,0,7.24645335,93.66801284,721.9242001,963.0319975,4105.410786,0,0,2294.0,739.0,7917.0,3033.0,0.0,High,1426.6221883720516,1373882.8157457584,963.0319975,0.0,Medium,Low,695236.1044658927,0,Medium,2.194504695500698
500109948,1.2734990099999999,NIOBRARA,9429.0,Codeveloped,Codeveloped,3104.468713,0,7.00074239,106.7503447,960.3875278,961.7138615,4080.814004,0,0,160.0,397.0,7495.0,557.0,1.2734990099999999,High,1224.741650523527,1177851.0220648646,0.0,961.7138615,Medium,Medium,923617.9978969767,0,Medium,1.6217997284709798
500109949,1.3366015666,NIOBRARA,9449.0,Codeveloped,Codeveloped,3096.284072,0,5.826859985,98.83003492,980.450418,965.8164885,4096.398974,0,0,200.0,160.0,7771.0,360.0,1.3366015666,High,1290.911831577211,1246783.9321370053,0.0,965.8164885,Medium,Medium,946935.1798611172,0,Medium,1.786503747837574
500109950,1.1375734636,CODELL,5201.0,Codeveloped,Parent,3036.144511,0,21.71793886,179.6146895,704.1318977,961.3535858,4097.831662,0,0,3524.0,2294.0,7929.0,5818.0,0.0,Medium,1093.6103283427858,1051346.2106202524,0.0,0.0,Medium,Low,676919.7247300538,0,Medium,1.2940733850869002
500109951,1.3366015666,NIOBRARA,9487.0,Codeveloped,Parent,3072.208606,0,11.29788131,100.9463476,982.7079161,976.4941499,4084.44601,0,0,4864.0,200.0,7729.0,5064.0,1.3366015666,High,1305.1836105320751,1274504.1602299316,0.0,976.4941499,Medium,Medium,959608.5311320701,0,Medium,1.786503747837574
500109961,0.743616667,CODELL,15624.0,Codeveloped,Parent,1934.851351,0,30.31893241,141.6800435,752.9865591,941.1162314,2015.921927,0,0,1838.0,761.0,7964.0,2599.0,0.0,Low,699.8297152532687,658621.1042408913,0.0,0.0,Medium,Low,708647.8727950454,0,Low,0.5529657474401888
500109962,1.542138776,NIOBRARA,14942.0,Codeveloped,Parent,1978.362575,0,25.2485611,108.1442913,960.2390577,942.3102664,2083.364014,0,0,2290.0,389.0,7600.0,2679.0,1.542138776,High,1453.17320083833,1369340.0260073077,0.0,942.3102664,Medium,Medium,904843.122268972,0,Low,2.3781920044427785
500109963,1.570849485,NIOBRARA,15634.0,Codeveloped,Codeveloped,1978.148085,0,19.2593706,110.7389664,972.548548,940.5142638,2072.565664,0,0,389.0,304.0,7781.0,693.0,1.570849485,High,1477.4063469253842,1389521.742711975,0.0,940.5142638,Medium,Medium,914695.7816319789,0,Low,2.4675681045247657
500109964,1.574575258,NIOBRARA,15627.0,Codeveloped,Codeveloped,2021.05668,0,17.64804505,117.64075,961.0661035,940.9355602,2126.677946,0,0,304.0,328.0,7763.0,632.0,1.574575258,High,1481.5738524632898,1394065.5228452177,0.0,940.9355602,Medium,Medium,904301.2724860038,0,Low,2.479287243105767
500109965,0.771003125,CODELL,15665.0,Codeveloped,Codeveloped,2063.348601,0,22.48228535,137.774593,745.8331312,929.8436004,2177.655138,0,0,761.0,544.0,7964.0,1305.0,0.0,Low,716.9123216696513,666616.3343524315,0.0,0.0,Medium,Low,693508.1640126136,0,Low,0.5944458187597657
